order_id,customer_id,order_date,order_status,amount
ORD00001001,CUST001175,2024-11-25,PROCESSING,582.38
ORD00001002,CUST001085,2024-11-24,NEW,681.77
ORD00001003,CUST000732,2024-11-26,NEW,137.21
ORD00001004,CUST001031,2024-11-26,CANCELLED,563.1
ORD00001005,CUST001088,2024-11-24,NEW,264.29
ORD00001006,CUST000669,2024-11-26,NEW,114.08
ORD00001007,CUST000625,2024-11-25,COMPLETED,593.39
ORD00001008,CUST000609,2024-11-24,PROCESSING,729.38
ORD00001009,CUST000698,2024-11-24,PROCESSING,163.69
ORD00001010,CUST000198,2024-11-25,COMPLETED,815.47
ORD00001011,CUST000487,2024-11-25,NEW,305.84
ORD00001012,CUST001028,2024-11-24,NEW,431.33
ORD00001013,CUST000405,2024-11-26,NEW,809.63
ORD00001014,CUST001175,2024-11-26,NEW,894.52
ORD00001015,CUST000113,2024-11-26,PROCESSING,551.69
ORD00001016,CUST000393,2024-11-25,PROCESSING,616.69
ORD00001017,CUST001027,2024-11-25,NEW,341.05
ORD00001018,CUST000678,2024-11-24,NEW,63.36
ORD00001019,CUST000251,2024-11-25,NEW,882.28
ORD00001020,CUST000348,2024-11-26,NEW,678.58
ORD00001021,CUST001065,2024-11-26,PROCESSING,657.09
ORD00001022,CUST000068,2024-11-26,COMPLETED,960.2
ORD00001023,CUST000004,2024-11-26,NEW,181.93
ORD00001024,CUST000020,2024-11-24,PROCESSING,958.06
ORD00001025,CUST000106,2024-11-25,NEW,362.65
ORD00001026,CUST000836,2024-11-24,NEW,891.92
ORD00001027,CUST000010,2024-11-24,CANCELLED,565.92
ORD00001028,CUST000473,2024-11-24,CANCELLED,452.78
ORD00001029,CUST001031,2024-11-26,NEW,39.34
ORD00001030,CUST000403,2024-11-26,CANCELLED,628.11
ORD00001031,CUST000754,2024-11-25,NEW,666.6
ORD00001032,CUST000966,2024-11-24,NEW,282.9
ORD00001033,CUST000160,2024-11-23,NEW,691.7
ORD00001034,CUST000082,2024-11-25,COMPLETED,230.75
ORD00001035,CUST000767,2024-11-25,PROCESSING,504.82
ORD00001036,CUST000421,2024-11-24,COMPLETED,531.9
ORD00001037,CUST000851,2024-11-25,CANCELLED,938.15
ORD00001038,CUST000554,2024-11-26,COMPLETED,847.66
ORD00001039,CUST001134,2024-11-24,NEW,831.22
